,index,FUELCONSUMPTION_COMB,CO2EMISSIONS
0,3,-0.0012707461427387341,-0.0011292957079575593
1,20,-0.3612095910736334,-0.32100230498714605
2,30,0.03145096703279704,0.027950068771968574
3,42,0.6858852305435148,0.6095373583704933
4,43,-0.06671417249381027,-0.059288024667809816
5,48,1.1439892150010174,1.0166484610894606
6,49,2.15836232344263,1.918108759967174
7,60,0.3586680987881559,0.31874371357123094
8,66,-0.2630444515470255,-0.23376421154736715
9,92,-0.7865918623556002,-0.6990340432261875
10,101,-0.32848787789809764,-0.29192294050721995
11,138,-0.03399245931827451,-0.030208660187883693
12,142,-0.8520352887066717,-0.7571927721860396
13,164,-0.32848787789809764,-0.29192294050721995
14,165,-0.09943588566934605,-0.08836738914773595
15,168,0.5549983778413717,0.4932199004507888
16,171,-0.0012707461427387341,-0.0011292957079575593
17,188,0.03145096703279704,0.027950068771968574
18,196,0.03145096703279704,0.027950068771968574
19,201,-1.3101392731641743,-1.1643038749050072
20,230,-0.16487931202041817,-0.14652611810758873
21,235,-0.16487931202041817,-0.14652611810758873
22,239,0.5222766646658353,0.4641405359708621
23,247,-1.0156438545843511,-0.9025895945856708
24,252,-1.1792524204620305,-1.047986416985302
25,257,-0.9174787150577433,-0.8153515011458919
26,264,2.3874143156713807,2.121664311326658
27,271,-0.8847570018822074,-0.7862721366659657
28,304,0.5549983778413717,0.4932199004507888
29,323,1.0785457886499459,0.9584897321296084
30,327,1.7657017653361993,1.5691563862080593
31,328,-0.0012707461427387341,-0.0011292957079575593
32,334,-1.0483655677598869,-0.9316689590655969
33,338,-1.4083044126907818,-1.2515419683447857
34,349,3.303622284586386,2.9358865167645924
35,359,-0.5902615833023843,-0.5245578563466295
36,368,1.8311451916872707,1.6273151151679115
37,398,0.3259463856126201,0.2896643490913048
38,399,0.5549983778413717,0.4932199004507888
39,424,-0.2630444515470255,-0.23376421154736715
40,432,0.39138981196369227,0.3478230780511576
41,485,-0.49209644377577705,-0.4373197629068511
42,500,0.2932246724370844,0.2605849846113787
43,517,-0.5902615833023843,-0.5245578563466295
44,520,-0.19760102519595393,-0.17560548258751485
45,530,0.12961610655940492,0.11518816221174748
46,547,-0.2630444515470255,-0.23376421154736715
47,550,-0.19760102519595393,-0.17560548258751485
48,554,0.7186069437190511,0.6386167228504198
49,555,0.424111525139228,0.3769024425310837
50,567,0.8494937964211943,0.7549341807701244
51,592,-0.5575398701268486,-0.49547849186670334
52,599,0.7513286568945869,0.667696087330346
53,615,-1.1465307072864948,-1.0189070525053758
54,628,-0.7538701491800638,-0.6699546787462607
55,630,0.06417268020833339,0.057029433251895224
56,673,1.7657017653361993,1.5691563862080593
57,702,-1.2119741336375662,-1.077065781465228
58,704,-1.34286098633971,-1.1933832393849333
59,706,-1.2446958468131024,-1.1061451459451546
60,721,-1.0156438545843511,-0.9025895945856708
61,722,-0.5575398701268486,-0.49547849186670334
62,724,-0.19760102519595393,-0.17560548258751485
63,730,1.3075977808786967,1.1620452834890918
64,737,0.6531635173679791,0.5804579938905672
65,742,-0.23032273837148973,-0.20468484706744103
66,746,-0.7538701491800638,-0.6699546787462607
67,753,0.7840503700701227,0.6967754518102721
68,758,1.4712063467563763,1.3074421058887231
69,759,1.5366497731074482,1.3656008348485758
70,773,-0.721148436004528,-0.6408753142663346
71,790,-1.081087280935423,-0.9607483235455234
72,792,-0.9174787150577433,-0.8153515011458919
73,801,-0.8520352887066717,-0.7571927721860396
74,804,-0.9174787150577433,-0.8153515011458919
75,806,-0.9174787150577433,-0.8153515011458919
76,822,-0.8193135755311359,-0.7281134077061135
77,834,0.09689439338386915,0.08610879773182135
78,836,-1.1465307072864948,-1.0189070525053758
79,858,-1.081087280935423,-0.9607483235455234
80,862,-1.1138089941109588,-0.9898276880254495
81,864,0.8494937964211943,0.7549341807701244
82,872,-0.03399245931827451,-0.030208660187883693
83,896,0.8494937964211943,0.7549341807701244
84,902,-0.0012707461427387341,-0.0011292957079575593
85,908,0.5877200910169075,0.5222992649307149
86,918,1.8638669048628072,1.656394479647838
87,924,1.962032044389415,1.743632573087617
88,939,-1.5391912653929252,-1.3678594262644905
89,941,1.8965886180383424,1.685473844127764
90,952,-0.8520352887066717,-0.7571927721860396
91,954,0.4568332383147638,0.40598180701100983
92,958,-0.6884267228289922,-0.6117959497864084
93,970,-1.7682432576216764,-1.571414977623974
94,975,-1.2119741336375662,-1.077065781465228
95,993,1.8311451916872707,1.6273151151679115
96,1006,1.3075977808786967,1.1620452834890918
97,1021,-0.5902615833023843,-0.5245578563466295
98,1022,-0.5575398701268486,-0.49547849186670334
99,1027,-0.4266530174247049,-0.3791610339469983
100,1051,-0.1321575988448824,-0.1174467536276626
101,1052,0.1623378197349407,0.14426752669167364
102,1053,-0.1321575988448824,-0.1174467536276626
